date	ouv	haut	bas	clot	vol	devise	
30/01/2025 00:00	237.9	239.3	236.9	238.4	470409	EUR	
31/01/2025 00:00	239.4	241	238.6	239.9	629017	EUR	
03/02/2025 00:00	234.7	239.9	234.5	239.7	661279	EUR	
04/02/2025 00:00	239.9	240.4	237.1	240	645787	EUR	
05/02/2025 00:00	238.9	241.5	238.2	241.3	456648	EUR	
06/02/2025 00:00	241.8	242.8	239.9	241	535209	EUR	
07/02/2025 00:00	242.2	243.8	240.6	243.6	610842	EUR	
10/02/2025 00:00	243.7	246	242.9	245.8	470565	EUR	
11/02/2025 00:00	246.1	246.5	243.7	245	637670	EUR	
12/02/2025 00:00	245.5	246.8	244.1	246.4	653418	EUR	
13/02/2025 00:00	246	248.5	244.1	245.8	1268967	EUR	
14/02/2025 00:00	247	249.5	240.6	246	1612082	EUR	
17/02/2025 00:00	248.2	252.3	248.1	252.1	601348	EUR	
18/02/2025 00:00	253.3	256.2	251.3	251.3	800447	EUR	
19/02/2025 00:00	251.5	252.6	250.6	252	656437	EUR	
20/02/2025 00:00	250.9	251.2	247.6	247.9	625746	EUR	
21/02/2025 00:00	244.8	246.5	243.5	244.2	929126	EUR	
24/02/2025 00:00	244.2	244.6	239.25	242.9	799359	EUR	
25/02/2025 00:00	244	246.8	242.6	245	616234	EUR	
26/02/2025 00:00	247.1	249.4	246.9	248.7	671261	EUR	
27/02/2025 00:00	249.6	250.4	245.8	248.5	472272	EUR	
28/02/2025 00:00	248.5	250.1	247.8	250.1	797367	EUR	
03/03/2025 00:00	255.9	262.1	253.5	257.9	1021350	EUR	
04/03/2025 00:00	259.9	260.3	254.1	255	961858	EUR	
05/03/2025 00:00	259.9	263.8	259.2	260.7	894108	EUR	
06/03/2025 00:00	262.9	262.9	254.7	258.7	837131	EUR	
07/03/2025 00:00	258.9	259.5	250.8	250.8	1280837	EUR	
10/03/2025 00:00	253.4	253.4	238.4	238.4	1337574	EUR	
11/03/2025 00:00	241.9	241.9	237.8	238.6	831254	EUR	
12/03/2025 00:00	243	251.2	241.2	250.5	976162	EUR	
13/03/2025 00:00	251.6	252	245	245.1	711230	EUR	
14/03/2025 00:00	245.6	251.9	244.7	250.7	567733	EUR	
17/03/2025 00:00	252.4	253.2	250.3	252.8	528560	EUR	
18/03/2025 00:00	253.4	253.5	250.5	252.8	561291	EUR	
19/03/2025 00:00	252.6	258	252.1	258	617808	EUR	
20/03/2025 00:00	256.6	256.8	249.8	252.5	502922	EUR	
21/03/2025 00:00	250.9	253.1	247.5	250.4	1202531	EUR	
24/03/2025 00:00	252.6	253.7	250.4	251	365782	EUR	
25/03/2025 00:00	251.2	257.1	250.8	253.9	526836	EUR	
26/03/2025 00:00	253.6	254.5	249.8	250.8	490821	EUR	
27/03/2025 00:00	248	250.1	246.2	248.4	542952	EUR	
28/03/2025 00:00	247.4	247.7	243	245.7	765412	EUR	
31/03/2025 00:00	242	245.6	240.2	242	809703	EUR	
01/04/2025 00:00	242.1	245.1	241.1	245.1	592358	EUR	
02/04/2025 00:00	245.3	246.3	240.3	244.4	546230	EUR	
03/04/2025 00:00	234	238.5	229.8	233.2	1278491	EUR	
04/04/2025 00:00	231.5	232.2	217	218.3	1408206	EUR	
07/04/2025 00:00	196.5	219	190.7	201.3	2329670	EUR	
08/04/2025 00:00	207.3	213.8	205.5	211.4	1521920	EUR	
09/04/2025 00:00	206	208.5	195.5	200.5	1416718	EUR	
10/04/2025 00:00	220.8	222.1	210	212	1507556	EUR	
11/04/2025 00:00	213.9	214.5	201.5	204.7	864980	EUR	
14/04/2025 00:00	209.3	210.8	206	210.8	1022826	EUR	
15/04/2025 00:00	210.9	215.8	210.8	215.5	808053	EUR	
16/04/2025 00:00	214.9	215.3	211.4	214.5	662327	EUR	
17/04/2025 00:00	214.3	215.3	211	212.2	451730	EUR	
22/04/2025 00:00	213	215.2	209.6	214.4	794446	EUR	
23/04/2025 00:00	217	220.9	216.6	219.4	787226	EUR	
24/04/2025 00:00	219.4	221.2	215.7	220.9	602860	EUR	
25/04/2025 00:00	230.8	232.7	225.5	230.1	845271	EUR	
28/04/2025 00:00	231.8	234.7	229.5	231.3	639494	EUR	
29/04/2025 00:00	234.1	235.4	230.4	230.4	598764	EUR	
30/04/2025 00:00	230.7	234.3	230.3	233	874068	EUR	
02/05/2025 00:00	241	243.4	236.4	243.3	876664	EUR	
05/05/2025 00:00	242	243.8	241.4	243.4	328548	EUR	
06/05/2025 00:00	242.2	243.8	238.7	243.8	469433	EUR	
07/05/2025 00:00	244.3	244.3	241.4	242.7	524042	EUR	
08/05/2025 00:00	245	250.5	244.3	250.2	689987	EUR	
09/05/2025 00:00	249.9	250.3	248.2	248.2	476403	EUR	
12/05/2025 00:00	245.8	250.6	241.7	250.3	687487	EUR	
13/05/2025 00:00	250	251.6	249	251.6	496532	EUR	
14/05/2025 00:00	252	253.5	250.6	252	508434	EUR	
15/05/2025 00:00	252.5	254.7	251.9	254.6	491552	EUR	
16/05/2025 00:00	254.9	257.8	253.8	256.1	661186	EUR	
19/05/2025 00:00	255	259.1	253.4	259.1	522214	EUR	
